title,authors,journal,date,year,volume,issue,start,end,article.id,DOI,total.citations,citations.yr,category
Ten simple rules for a successful collaboration,"Vicens, Quentin; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Mar-07,2007,3,3,335,336,e44,10.1371/journal.pcbi.0030044,19,1.58,collaboration
Ten Simple Rules for a Successful Cross-Disciplinary Collaboration,"Knapp, Bernhard; Bardenet, Remi; Bernabeu, Miguel O.; Bordas, Rafel; Bruna, Maria; Calderhead, Ben; Cooper, Jonathan; Fletcher, Alexander G.; Groen, Derek; Kuijper, Bram; Lewis, Joanna; McInerny, Greg; Minssen, Timo; Osborne, James; Paulitschke, Verena; Pitt-Francis, Joe; Todoric, Jelena; Yates, Christian A.; Gavaghan, David; Deane, Charlotte M.",PLOS COMPUTATIONAL BIOLOGY,Apr-15,2015,11,4,,,e1004214,10.1371/journal.pcbi.1004214,7,1.75,collaboration
Ten Simple Rules for Organizing an Unconference,"Budd, Aidan; Dinkel, Holger; Corpas, Manuel; Fuller, Jonathan C.; Rubinat, Laura; Devos, Damien P.; Khoueiry, Pierre H.; Foestner, Konrad U.; Georgatos, Fotis; Rowland, Francis; Sharan, Malvika; Binder, Janos X.; Grace, Tom; Traphagen, Karyn; Gristwood, Adam; Wood, Natasha T.",PLOS COMPUTATIONAL BIOLOGY,Jan-15,2015,11,1,,,e1003905,10.1371/journal.pcbi.1003905,6,1.5,collaboration
Ten Simple Rules for Getting Help from Online Scientific Communities,"Dall'Olio, Giovanni M.; Marino, Jacopo; Schubert, Michael; Keys, Kevin L.; Stefan, Melanie I.; Gillespie, Colin S.; Poulain, Pierre; Shameer, Khader; Sugar, Robert; Invergo, Brandon M.; Jensen, Lars J.; Bertranpetit, Jaume; Laayouni, Hafid",PLOS COMPUTATIONAL BIOLOGY,Sep-11,2011,7,9,,,e1002202,10.1371/journal.pcbi.1002202,6,0.75,collaboration
Ten simple rules for organizing a scientific meeting,"Corpas, Manuel; Gehlenborg, Nils; Janga, Sarath Chandra; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Jun-08,2008,4,6,,,e1000080,10.1371/journal.pcbi.1000080,6,0.55,collaboration
Ten Simple Rules to Enable Multi-site Collaborations through Data Sharing,"Boland, Mary Regina; Karczewski, Konrad J.; Tatonetti, Nicholas P.",PLOS COMPUTATIONAL BIOLOGY,Jan-17,2017,13,1,,,e1005278,10.1371/journal.pcbi.1005278,4,2,collaboration
Ten Simple Rules for Starting a Regional Student Group,"Shanmugam, Avinash Kumar; Macintyre, Geoff; Michaut, Magali; Abeel, Thomas",PLOS COMPUTATIONAL BIOLOGY,Nov-13,2013,9,11,,,e1003340,10.1371/journal.pcbi.1003340,4,0.67,collaboration
Ten Simple Rules for Establishing International Research Collaborations,"de Grijs, Richard",PLOS COMPUTATIONAL BIOLOGY,Oct-15,2015,11,10,,,e1004311,10.1371/journal.pcbi.1004311,2,0.5,collaboration
Ten Simple Rules for Chairing a Scientific Session,"Bateman, Alex; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Sep-09,2009,5,9,,,e1000517,10.1371/journal.pcbi.1000517,2,0.2,collaboration
Ten Simple Rules for Curating and Facilitating Small Workshops,"McInerny, Greg J.",PLOS COMPUTATIONAL BIOLOGY,Jul-16,2016,12,7,,,e1004745,10.1371/journal.pcbi.1004745,1,0.33,collaboration
Ten Simple Rules for a Bioinformatics Journal Club,"Lonsdale, Andrew; Penington, Jocelyn Sietsma; Rice, Timothy; Walker, Michael; Dashnow, Harriet",PLOS COMPUTATIONAL BIOLOGY,Jan-16,2016,12,1,,,e1004526,10.1371/journal.pcbi.1004526,1,0.33,collaboration
Ten Simple Rules for a Community Computational Challenge,"Friedberg, Iddo; Wass, Mark N.; Mooney, Sean D.; Radivojac, Predrag",PLOS COMPUTATIONAL BIOLOGY,Apr-15,2015,11,4,,,e1004150,10.1371/journal.pcbi.1004150,1,0.25,collaboration
Ten simple rules for forming a scientific professional society,"Gaeta, Bruno A.; De las Rivas, Javier; Horton, Paul; Meysman, Pieter; Mulder, Nicola; Romano, Paolo; Welch, Lonnie",PLOS COMPUTATIONAL BIOLOGY,Mar-17,2017,13,3,,,e1005226,10.1371/journal.pcbi.1005226,0,0,collaboration
Ten Simple Rules on How to Organize a Scientific Retreat,"Ponomarenko, Julia; Garrido, Romina; Guigo, Roderic",PLOS COMPUTATIONAL BIOLOGY,Feb-17,2017,13,2,,,e1005344,10.1371/journal.pcbi.1005344,0,0,collaboration
Ten Simple Rules for Writing a Literature Review,"Pautasso, Marco",PLOS COMPUTATIONAL BIOLOGY,Jul-13,2013,9,7,,,e1003149,10.1371/journal.pcbi.1003149,25,4.17,communication
Ten simple rules for a good poster presentation,"Erren, Thomas C.; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,May-07,2007,3,5,777,778,e102,10.1371/journal.pcbi.0030102,24,2,communication
Ten simple rules for making good oral presentations,"Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Apr-07,2007,3,4,593,594,e77,10.1371/journal.pcbi.0030077,17,1.42,communication
Ten Simple Rules for Editing Wikipedia,"Logan, Darren W.; Sandal, Massimo; Gardner, Paul P.; Manske, Magnus; Bateman, Alex",PLOS COMPUTATIONAL BIOLOGY,Sep-10,2010,6,9,,,e1000941,10.1371/journal.pcbi.1000941,16,1.78,communication
Ten Simple Rules of Live Tweeting at Scientific Conferences,"Ekins, Sean; Perlstein, Ethan O.",PLOS COMPUTATIONAL BIOLOGY,Aug-14,2014,10,8,,,e1003789,10.1371/journal.pcbi.1003789,14,2.8,communication
Ten simple rules for getting grants,"Bourne, Philip E.; Chalupa, Leo M.",PLOS COMPUTATIONAL BIOLOGY,Feb-06,2006,2,2,59,60,e12,10.1371/journal.pcbi.0020012,13,1,communication
Ten Simple Rules for Building and Maintaining a Scientific Reputation,"Bourne, Philip E.; Barbour, Virginia",PLOS COMPUTATIONAL BIOLOGY,Jun-11,2011,7,6,,,e1002108,10.1371/journal.pcbi.1002108,12,1.5,communication
Ten Simple Rules for Effective Online Outreach,"Bik, Holly M.; Dove, Alistair D. M.; Goldstein, Miriam C.; Helm, Rebecca R.; MacPherson, Rick; Martini, Kim; Warneke, Alexandria; McClain, Craig",PLOS COMPUTATIONAL BIOLOGY,Apr-15,2015,11,4,,,e1003906,10.1371/journal.pcbi.1003906,11,2.75,communication
Ten Simple Rules for Better Figures,"Rougier, Nicolas P.; Droettboom, Michael; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Sep-14,2014,10,9,,,e1003833,10.1371/journal.pcbi.1003833,10,2,communication
Ten Simple Rules for Getting Involved in Your Scientific Community,"Michaut, Magali",PLOS COMPUTATIONAL BIOLOGY,Oct-11,2011,7,10,,,e1002232,10.1371/journal.pcbi.1002232,10,1.25,communication
Ten Simple Rules for Organizing a Virtual Conference-Anywhere,"Gichora, Nelson N.; Fatumo, Segun A.; Ngara, Mtakai V.; Chelbat, Noura; Ramdayal, Kavisha; Opap, Kenneth B.; Siwo, Geoffrey H.; Adebiyi, Marion O.; El Gonnouni, Amina; Zofou, Denis; Maurady, Amal A. M.; Adebiyi, Ezekiel F.; de Villiers, Etienne P.; Masiga, Daniel K.; Bizzaro, Jeffrey W.; Suravajhala, Prashanth; Ommeh, Sheila C.; Hide, Winston",PLOS COMPUTATIONAL BIOLOGY,Feb-10,2010,6,2,,,e1000650,10.1371/journal.pcbi.1000650,10,1.11,communication
Ten Simple (Empirical) Rules for Writing Science,"Weinberger, Cody J.; Evans, James A.; Allesina, Stefano",PLOS COMPUTATIONAL BIOLOGY,Apr-15,2015,11,4,,,e1004205,10.1371/journal.pcbi.1004205,8,2,communication
Ten Simple Rules for Cultivating Open Science and Collaborative R&D,"Masum, Hassan; Rao, Aarthi; Good, Benjamin M.; Todd, Matthew H.; Edwards, Aled M.; Chan, Leslie; Bunin, Barry A.; Su, Andrew I.; Thomas, Zakir; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Sep-13,2013,9,9,,,e1003244,10.1371/journal.pcbi.1003244,8,1.33,communication
Ten simple rules to consider regarding preprint submission,"Bourne, Philip E.; Polka, Jessica K.; Vale, Ronald D.; Kiley, Robert",PLOS COMPUTATIONAL BIOLOGY,May-17,2017,13,5,,,e1005473,10.1371/journal.pcbi.1005473,6,3,communication
Ten Simple Rules for Writing a PLOS Ten Simple Rules Article,"Dashnow, Harriet; Lonsdale, Andrew; Bourne, Philip E.",PLOS COMPUTATIONAL BIOLOGY,Oct-14,2014,10,10,,,e1003858,10.1371/journal.pcbi.1003858,4,0.8,communication
Ten Simple Rules for Writing Research Papers,"Zhang, Weixiong",PLOS COMPUTATIONAL BIOLOGY,Jan-14,2014,10,1,,,e1003453,10.1371/journal.pcbi.1003453,4,0.8,communication
Ten Simple Rules for Providing a Scientific Web Resource,"Schultheiss, Sebastian J.",PLOS COMPUTATIONAL BIOLOGY,May-11,2011,7,5,,,e1001126,10.1371/journal.pcbi.1001126,3,0.38,communication
